source_index,lotName,waferIndex,label,split,label_id,wafer_die_count,fail_die_count,fail_die_fraction,component_count,largest_component_fraction,singleton_fail_fraction,component_size_cv,centroid_offset_normalized,radial_mean_normalized,radial_std_normalized,edge_fail_fraction,spatial_dispersion_normalized,predicted_label_id_seed42,correct_seed42,predicted_label_id_seed123,correct_seed123,predicted_label_id_seed2026,correct_seed2026,error_count_across_seeds,error_rate_across_seeds,predicted_none_count_across_seeds,predicted_none_rate_across_seeds,error_group,unanimous_to_none
225,lot10,1,none,test,8,3237,604,0.1865925239,49,0.1158940397,0,0.9598062818,0.067337131,0.6999582713,0.2422153402,0.4635761589,0.7375489343,8,True,8,True,8,True,0,0,3,,all_correct,False
226,lot10,2,none,test,8,3237,432,0.1334569045,38,0.1041666667,0,0.7677757002,0.08571292788,0.6451267726,0.2659113496,0.3958333333,0.6923777977,8,True,8,True,8,True,0,0,3,,all_correct,False
227,lot10,3,none,test,8,3237,713,0.2202656781,47,0.1122019635,0,0.9786315821,0.09375804618,0.6820234245,0.2266882325,0.3786816269,0.7125172719,8,True,8,True,8,True,0,0,3,,all_correct,False
228,lot10,4,none,test,8,3237,484,0.1495211616,42,0.173553719,0,1.17119174,0.1347571161,0.6522523749,0.2511479879,0.3904958678,0.6857249238,8,True,8,True,8,True,0,0,3,,all_correct,False
229,lot10,5,none,test,8,3237,599,0.1850478838,38,0.1318864775,0,1.057065199,0.04283994491,0.6840098641,0.25300238,0.4357262104,0.7279681145,8,True,8,True,8,True,0,0,3,,all_correct,False
230,lot10,6,none,test,8,3237,489,0.1510658017,45,0.07566462168,0,0.8808348501,0.04323543849,0.6758558631,0.2508144242,0.427402863,0.7195075219,8,True,8,True,8,True,0,0,3,,all_correct,False
232,lot10,8,none,test,8,3237,559,0.1726907631,48,0.06618962433,0,0.7261283795,0.02475119399,0.7107446382,0.257693398,0.5098389982,0.755534521,8,True,8,True,8,True,0,0,3,,all_correct,False
233,lot10,9,none,test,8,3237,519,0.1603336423,32,0.1175337187,0,0.7957424927,0.03284493597,0.7182088055,0.2342984527,0.5105973025,0.7546754874,8,True,8,True,8,True,0,0,3,,all_correct,False
234,lot10,10,none,test,8,3237,449,0.1387086809,34,0.131403118,0,0.9226863465,0.2245296116,0.660140956,0.26014571,0.3808463252,0.6729766713,8,True,8,True,8,True,0,0,3,,all_correct,False
235,lot10,11,none,test,8,3237,535,0.1652764906,33,0.08598130841,0,0.7211082868,0.1104491783,0.6936685759,0.2473283761,0.4635514019,0.7280343803,8,True,8,True,8,True,0,0,3,,all_correct,False
236,lot10,12,none,test,8,3237,433,0.1337658326,43,0.129330254,0,0.9889002903,0.1183937695,0.6911283603,0.2404994677,0.4318706697,0.7220441399,8,True,8,True,8,True,0,0,3,,all_correct,False
237,lot10,13,none,test,8,3237,722,0.2230460303,45,0.1011080332,0,1.017297998,0.0615240457,0.7205381193,0.238707723,0.4903047091,0.756500118,8,True,8,True,8,True,0,0,3,,all_correct,False
238,lot10,14,none,test,8,3237,570,0.1760889713,44,0.1842105263,0,1.213919994,0.05280529637,0.701114137,0.2320785661,0.4561403509,0.7365721978,8,True,8,True,8,True,0,0,3,,all_correct,False
239,lot10,15,none,test,8,3237,467,0.1442693852,45,0.09421841542,0,0.8226028015,0.06390822731,0.6799952759,0.2401721283,0.3854389722,0.7182398259,8,True,8,True,8,True,0,0,3,,all_correct,False
240,lot10,16,none,test,8,3237,519,0.1603336423,52,0.06743737958,0,0.7695921051,0.03050220745,0.6862281031,0.2328932038,0.3776493256,0.7239567404,8,True,8,True,8,True,0,0,3,,all_correct,False
241,lot10,17,none,test,8,3237,433,0.1337658326,36,0.08545034642,0,0.772931982,0.04385421306,0.7017220969,0.2290498255,0.454965358,0.7367722635,8,True,8,True,8,True,0,0,3,,all_correct,False
242,lot10,18,none,test,8,3237,555,0.171455051,47,0.1423423423,0,1.201084966,0.05990949425,0.6407313082,0.2663511997,0.3801801802,0.6912037313,8,True,8,True,8,True,0,0,3,,all_correct,False
243,lot10,19,none,test,8,3237,453,0.139944393,47,0.05518763797,0,0.5709171382,0.1498959753,0.6918677402,0.2253782395,0.3841059603,0.7119658604,8,True,8,True,8,True,0,0,3,,all_correct,False
244,lot10,20,none,test,8,3237,782,0.2415817115,52,0.1176470588,0,1.165513257,0.05516361698,0.6816308356,0.2633018038,0.4590792839,0.7285717238,8,True,8,True,8,True,0,0,3,,all_correct,False
